"id","module","permission"
"640","cip","cip-get-api-datasets-getDashboardBydashboardId"
"641","cip","cip-get-api-datasets-getCount"
"642","cip","cip-get-api-datasets-getAuditDataByIdByorgAndnameAndid"
"643","cip","cip-get-api-datasets-getBynameStrAndorg"
"644","cip","cip-get-api-datasets-generate-fileid"
"645","cip","cip-get-api-datasets-filesByid"
"646","cip","cip-get-api-datasets-extracttableschemaBydatasetnameAndorg"
"647","cip","cip-get-api-datasets-extractSchemaBynameAndorg"
"648","cip","cip-get-api-datasets-expByorg"
"649","cip","cip-get-api-datasets-dsetNamesByorganization"
"650","cip","cip-get-api-datasets-dsetByorganization"
"651","cip","cip-get-api-datasets-downloadCsvData"
"652","cip","cip-get-api-datasets-datasourceByorganization"
"653","cip","cip-get-api-datasets-datasource-paginatedByorganization"
"654","cip","cip-get-api-datasets-datasource-lenByorganization"
"655","cip","cip-get-api-datasets-datasetformBynameAndorg"
"656","cip","cip-get-api-datasets-dataset"
"657","cip","cip-get-api-datasets-copyByfromAndto"
"658","cip","cip-get-api-datasets-checkIfSupportedBynameStrAndorg"
"659","cip","cip-get-api-datasets-allByorg"
"660","cip","cip-get-api-datasets-allBygroupAndorg"
"661","cip","cip-get-api-datasets-all-typeBytypeAndorg"
"662","cip","cip-get-api-datasets-all-paginatedBygroupAndorg"
"663","cip","cip-get-api-datasets-all-lenBygroupAndorg"
"664","dbs","dbs-get-api-dashboards-all"
"665","dbs","dbs-get-api-dashboard-count"
"666","dbs","dbs-get-api-dashboard-configurationsByid"
"667","dbs","dbs-delete-api-dashboard-configurationsByid"
"668","dbs","dbs-get-api-dashboard-configurations-page"
"669","dbs","dbs-get-api-dashboard-configurations--page"
"700","usm","usm-get-api-UserProcessMappingByorganizationAnduser"
"701","usm","usm-get-api-UserProcessMapping-UsersToDelegateByorganizationAndprocessKeyAndstartTimeAndendTimeAndcurrentUser"
"702","usm","usm-get-api-GetUserProcessMappingByorganizationAndprocessAndroleMngAnduser"
"703","usm","usm-delete-api-usm-permission-apiByid"
"704","cip","cip-delete-api-schemaRegistry-deleteFormtemplateByid"
