id,project_id,color_type,colour,dataset_name,datasource_name,y_axis,chart_type,widget_id
36,2,fixed,#7B39B1,MonthlyTicketArrivalTrend,leo1311,0,1,36
37,2,fixed,#7b39b1,DistributionByEASE,leo1311,0,10,37
38,2,fixed,#7b39b1,Incident_Count_By_Cluster,leo1311,0,3,38
39,2,fixed,#7b39b1,Cluster_Pareto,leo1311,0,3,39
40,2,fixed,#7b39b1,Cluster_Pareto,leo1311,0,1,39
41,2,fixed,#7B39B1,ease_TotalTickets,leo1311,NULL,NULL,40
42,2,fixed,#7B39B1,ease_TotalTickets,leo1311,NULL,NULL,41
43,2,dynamic,NULL,DistributionByEASE,leo1311,NULL,NULL,42
44,2,fixed,#7B39B1,ease_TotalTickets,leo1311,NULL,NULL,43
45,2,fixed,#7B39B1,ease_TotalTickets,leo1311,NULL,NULL,44
46,2,dynamic,NULL,DistributionByEASE,leo1311,NULL,NULL,45
47,2,fixed,#7b39b1,ease_wordcloud,leo1311,0,11,46
48,2,fixed,#7b39b1,ease_distributionByKeyword,leo1311,0,6,47
49,2,dynamic,,ease_tickets,leo1311,NULL,12,48
50,2,fixd,#7b39b1,ease_tickets,leo1311,NULL,12,49
51,2,fixed,#7b39b1,correlation_alerts,leo1311,0,16,50
52,2,fixed,#7B39B1,servercount,AcmeBTF,NULL,NULL,51
53,2,dynamic,,serverdetail,AcmeBTF,NULL,12,52
54,2,fixed,#7B39B1,Total_bots,AcmeBTF,NULL,NULL,53
55,2,palette,NULL,Active_Bots_,AcmeBTF,NULL,NULL,54
56,2,palette,NULL,Avg_Time_,AcmeBTF,NULL,NULL,55
57,2,dynamic,,Avg_per_bot_,AcmeBTF,NULL,12,56
58,2,dynamic,,Executions_per_bot_,AcmeBTF,NULL,12,57
59,2,fixed,#7B39B1,workflowcount,AcmeBTF,NULL,NULL,58
60,2,fixed,#7B39B1,botType,AcmeBTF,0,3,59
61,2,palette,NULL,botTechnology,AcmeBTF,0,1,60
62,2,fixed,#7B39B1,botSpecificationCategory,AcmeBTF,0,9,61
63,2,dynamic,,workFlowStatus,AcmeBTF,NULL,12,62
64,2,dynamic,,botUsageStat,AcmeBTF,NULL,12,63
65,2,fixed,#7B39B1,total_available_wf,AcmeBTF,NULL,NULL,64
66,2,fixed,#7B39B1,Total_wf,leo1311,NULL,NULL,65
67,2,palette,NULL,5_fastest_wf,leo1311,0,19,66
68,2,palette,NULL,5_Slowest_wf,leo1311,0,19,67
69,2,fixed,#a22525,TicketsBreachedResolutionSLA,leo1311,NULL,NULL,68
70,2,palette,NULL,Top_5_executed_wf,leo1311,0,19,69
71,2,palette,NULL,least_5_executed_wf,leo1311,0,19,70
72,2,fixed,#7B39B1,btf_Deployed_count,AcmeBTF,NULL,NULL,71
73,2,fixed,#7b39b1,TicketsBreachedResolutionSLA,leo1311,NULL,NULL,72
74,2,palette,NULL,Total_processes,leo1311,NULL,NULL,73
75,2,palette,NULL,wf_completed_count,leo1311,NULL,NULL,74
76,2,fixed,#3e49a3,wf_in_progress_count,leo1311,NULL,NULL,75
77,2,fixed,#e42121,wf_failed_count,leo1311,NULL,NULL,76
78,2,palette,NULL,5fastest_processes,leo1311,0,19,77
79,2,palette,NULL,5slowest_processes,leo1311,0,19,78
80,2,palette,NULL,Top5_executed_processes,leo1311,0,19,79
81,2,palette,#7B39B1,least5_executed_processes,leo1311,0,19,80
82,2,dynamic,,wf_completed,leo1311,NULL,12,81
83,2,dynamic,,wf_in_progress,leo1311,NULL,12,82
84,2,dynamic,,wf_failed,leo1311,NULL,12,83
85,2,dynamic,,TicketDetails,leo1311,NULL,12,84
86,2,dynamic,,TicketDetails,leo1311,NULL,12,85
87,2,palette,NULL,CriticalResolutionSLA_05,leo1311,NULL,NULL,86
88,2,palette,NULL,CriticalResolutionSLA_1,leo1311,NULL,NULL,87
