"id","module","permission"
"531","bcc","bcc-get-api-getDisruptionDashboard"
"532","common","common-get-api-getConfigDetails"
"533","usm","usm-get-api-getAllProjectsByprojectName"
"534","usm","usm-get-api-get-encrypted-data"
"535","usm","usm-get-api-get-decrypted-data"
"536","dbs","dbs-get-api-get-dashboardByidOrNameAndproject"
"537","cip","cip-get-api-fileserver-downloadFileByfileIdAndorg"
"538","cip","cip-get-api-file-readXmlByagenttype"
"539","cip","cip-get-api-file-readConfigByagenttype"
"540","cip","cip-get-api-file-readBycnameAndorg"
"541","cip","cip-get-api-file-read-scriptBycnameAndorg"
"542","cip","cip-get-api-file-read-sample-agents"
"543","cip","cip-get-api-file-read-dragBycnameAndorg"
"544","cip","cip-get-api-file-read-base-agents"
"545","cip","cip-get-api-file-read-agentsBycnameAndorg"
"546","cip","cip-get-api-file-downloadBycnameAndorg"
"547","cip","cip-get-api-file-download-scriptBycnameAndorg"
"548","cip","cip-get-api-file-download-nativeBycnameAndorg"
"549","cip","cip-get-api-file-download-log-pipeline"
"550","cip","cip-get-api-file-download-log-chain"
"551","cip","cip-get-api-file-download-dragBycnameAndorg"
"552","dbs","dbs-get-api-fetch-dashboard-permission"
"553","dbs","dbs-get-api-fetch-dashboard-mapping"
"554","exp","exp-get-api-exp-your-discussionsByuserIdAndorgIdAndsortBy"
